scenario,readout,origin,step_h,RH_pred,RH_true,level
偏高湿,线性 MSE,2024-06-17 03:00:00+00:00,43,40.985,55.845,0
偏高湿,线性 MSE,2024-06-17 03:00:00+00:00,44,39.777,58.557,0
偏高湿,线性 MSE,2024-06-17 03:00:00+00:00,45,38.275,69.119,0
偏高湿,线性 MSE,2024-06-17 03:00:00+00:00,46,36.593,68.892,0
偏高湿,线性 MSE,2024-06-17 03:00:00+00:00,47,34.875,68.301,0
偏高湿,线性 MSE,2024-06-17 03:00:00+00:00,48,33.31,66.978,0
偏高湿,线性 MSE,2024-06-17 03:00:00+00:00,49,32.1,65.951,0
偏高湿,线性 MSE,2024-06-17 03:00:00+00:00,50,31.371,65.278,0
偏高湿,线性 MSE,2024-06-17 03:00:00+00:00,51,31.233,64.284,0
偏高湿,线性 MSE,2024-06-17 03:00:00+00:00,52,31.747,63.0,0
偏高湿,线性 MSE,2024-06-17 03:00:00+00:00,53,32.876,62.037,0
偏高湿,线性 MSE,2024-06-17 03:00:00+00:00,54,34.462,61.066,0
偏高湿,线性 MSE,2024-06-17 03:00:00+00:00,55,36.272,60.017,0
偏高湿,线性 MSE,2024-06-17 03:00:00+00:00,56,38.114,58.284,0
偏高湿,线性 MSE,2024-06-17 03:00:00+00:00,57,39.83,57.795,0
偏高湿,线性 MSE,2024-06-17 03:00:00+00:00,58,41.311,58.02,0
偏高湿,线性 MSE,2024-06-17 03:00:00+00:00,59,42.434,58.125,0
偏高湿,线性 MSE,2024-06-17 03:00:00+00:00,60,43.159,57.925,0
偏高湿,线性 MSE,2024-06-17 03:00:00+00:00,61,43.487,57.458,0
偏高湿,线性 MSE,2024-06-17 03:00:00+00:00,62,43.453,56.821,0
偏高湿,线性 MSE,2024-06-17 03:00:00+00:00,63,43.162,56.235,0
偏高湿,线性 MSE,2024-06-17 03:00:00+00:00,64,42.765,55.874,0
偏高湿,线性 MSE,2024-06-17 03:00:00+00:00,65,42.301,55.571,0
偏高湿,线性 MSE,2024-06-17 03:00:00+00:00,66,41.69,55.859,0
偏高湿,线性 MSE,2024-06-17 03:00:00+00:00,67,40.822,56.712,0
偏高湿,线性 MSE,2024-06-17 03:00:00+00:00,68,39.602,57.372,0
偏高湿,线性 MSE,2024-06-17 03:00:00+00:00,69,38.078,62.173,0
偏高湿,线性 MSE,2024-06-17 03:00:00+00:00,70,36.364,65.621,0
偏高湿,线性 MSE,2024-06-17 03:00:00+00:00,71,34.608,72.107,0
偏高湿,线性 MSE,2024-06-17 03:00:00+00:00,72,33.006,72.899,0
偏高湿,分位数 τ=0.9,2024-06-17 03:00:00+00:00,0,40.268,36.847,0
偏高湿,分位数 τ=0.9,2024-06-17 03:00:00+00:00,1,39.221,36.073,0
偏高湿,分位数 τ=0.9,2024-06-17 03:00:00+00:00,2,38.618,35.721,0
偏高湿,分位数 τ=0.9,2024-06-17 03:00:00+00:00,3,38.563,35.526,0
偏高湿,分位数 τ=0.9,2024-06-17 03:00:00+00:00,4,39.113,35.778,0
偏高湿,分位数 τ=0.9,2024-06-17 03:00:00+00:00,5,40.245,36.751,0
偏高湿,分位数 τ=0.9,2024-06-17 03:00:00+00:00,6,41.816,38.019,0
偏高湿,分位数 τ=0.9,2024-06-17 03:00:00+00:00,7,43.6,45.057,0
偏高湿,分位数 τ=0.9,2024-06-17 03:00:00+00:00,8,45.399,45.521,0
偏高湿,分位数 τ=0.9,2024-06-17 03:00:00+00:00,9,47.052,46.035,0
偏高湿,分位数 τ=0.9,2024-06-17 03:00:00+00:00,10,48.447,46.582,0
偏高湿,分位数 τ=0.9,2024-06-17 03:00:00+00:00,11,49.484,46.72,0
偏高湿,分位数 τ=0.9,2024-06-17 03:00:00+00:00,12,50.14,46.97,0
偏高湿,分位数 τ=0.9,2024-06-17 03:00:00+00:00,13,50.44,47.012,0
偏高湿,分位数 τ=0.9,2024-06-17 03:00:00+00:00,14,50.443,46.744,0
偏高湿,分位数 τ=0.9,2024-06-17 03:00:00+00:00,15,50.261,46.242,0
偏高湿,分位数 τ=0.9,2024-06-17 03:00:00+00:00,16,50.027,45.687,0
偏高湿,分位数 τ=0.9,2024-06-17 03:00:00+00:00,17,49.795,45.251,0
偏高湿,分位数 τ=0.9,2024-06-17 03:00:00+00:00,18,49.515,45.011,0
偏高湿,分位数 τ=0.9,2024-06-17 03:00:00+00:00,19,49.093,45.143,0
偏高湿,分位数 τ=0.9,2024-06-17 03:00:00+00:00,20,48.421,44.935,0
